Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
2,2.4,4,3,3,10.2,6.8,8.7,32,200
2,2.4,4,15,3,6.7,6.0,6.4,44,147
0,1.6,4,3,3,8.7,6.3,7.6,37,175
0,1.6,4,3,3,8.5,6.4,7.6,37,175
8,2.0,4,3,3,10.5,7.5,9.2,31,212
8,2.0,4,25,3,10.8,7.4,9.3,30,214
4,3.5,6,3,3,13.7,9.9,12.0,24,276
11,2.4,4,3,3,11.8,8.5,10.3,27,237
11,3.3,6,3,3,12.9,9.5,11.4,25,262
11,2.4,4,3,3,12.3,9.3,11.0,26,253
11,3.3,6,3,3,13.4,9.9,11.8,24,271
9,1.6,4,3,3,9.8,7.9,8.9,32,205
9,1.6,4,25,3,9.9,7.8,9.0,31,207
9,2.0,4,3,3,10.1,7.8,9.1,31,209
9,2.0,4,3,3,9.7,7.8,8.8,32,202
11,2.4,4,3,3,11.4,8.3,10.0,28,230
11,2.4,4,25,3,12.9,9.3,11.3,25,260
11,2.0,4,3,3,12.7,9.7,11.4,25,262
11,2.4,4,3,3,12.0,9.1,10.7,26,246
13,6.5,12,4,4,22.8,12.9,18.3,15,421
13,5.2,10,3,4,18.0,12.8,15.7,18,361
13,5.2,10,25,4,20.6,13.5,17.4,16,400
11,2.0,4,15,4,13.5,9.9,11.9,24,274
12,3.0,6,17,4,16.3,12.4,14.5,19,334
11,2.0,4,18,4,11.3,7.9,9.8,29,225
12,5.0,8,17,4,18.0,12.2,15.4,18,354
12,5.0,8,17,4,17.2,12.5,15.1,19,347
12,5.0,8,17,1,25.0,16.9,21.4,13,342
12,3.0,6,17,4,14.2,10.2,12.4,23,285
12,3.0,6,17,1,19.4,14.9,17.4,16,278
12,5.0,8,17,4,17.3,12.2,15.0,19,345
12,5.0,8,17,4,16.6,12.3,14.7,19,338
12,5.0,8,17,1,24.0,16.6,20.7,14,331
12,3.0,6,17,4,14.1,10.1,12.3,23,283
12,3.0,6,17,1,19.4,14.8,17.3,16,277
0,1.8,4,19,3,5.5,5.8,5.6,50,129
2,2.5,4,21,3,5.8,6.2,6.0,47,138
2,3.5,6,15,3,11.3,7.6,9.6,29,221
2,3.5,6,17,4,12.1,8.3,10.4,27,239
2,3.5,6,15,4,12.5,9.1,11.0,26,253
2,3.5,6,23,4,7.7,7.4,7.6,37,175
12,4.6,8,15,4,15.7,11.8,13.9,20,320
0,2.5,6,15,4,11.2,7.8,9.7,29,223
0,2.5,6,15,4,11.8,8.7,10.4,27,239
10,2.5,6,15,4,11.2,7.8,9.7,29,223
0,3.5,6,17,4,12.2,8.7,10.6,27,244
0,3.5,6,15,4,12.5,9.1,11.0,26,253
10,3.5,6,15,4,12.1,8.7,10.6,27,244
10,5.0,8,17,4,14.6,10.1,12.6,22,290
2,4.6,8,17,4,14.5,9.6,12.3,23,283
2,4.6,8,17,4,15.1,10.3,12.9,22,297
2,5.0,8,23,4,12.0,10.7,11.4,25,262
12,5.7,8,15,4,18.8,13.6,16.5,17,380
11,3.5,6,15,3,13.3,9.8,11.7,24,269
11,3.5,6,17,3,12.7,9.1,11.1,25,255
11,3.5,6,21,4,7.9,8.6,8.2,34,189
1,3.7,6,15,3,13.1,9.0,11.3,25,260
7,2.0,4,15,3,11.5,8.5,10.2,28,235
7,3.7,6,3,3,14.0,9.9,12.2,23,281
2,3.7,6,15,3,13.1,9.3,11.4,25,262
2,2.0,4,19,3,6.2,6.4,6.3,45,145
2,3.0,6,17,4,15.2,9.6,12.7,22,292
10,4.7,8,15,4,18.2,11.4,15.1,19,347
10,4.7,8,15,4,18.2,11.7,15.3,18,352
1,3.8,8,17,4,17.6,10.7,14.5,19,334
1,3.0,6,17,4,15.9,9.7,13.1,22,301
11,2.0,4,15,3,8.9,7.3,8.2,34,189
11,2.0,4,25,3,9.0,6.8,8.0,35,184
11,2.5,4,15,3,9.6,7.4,8.6,33,198
11,2.0,4,15,3,9.3,7.6,8.5,33,196
11,2.5,4,15,3,9.8,7.9,8.9,32,205
11,3.7,6,15,3,14.2,10.0,12.3,23,283
11,3.7,6,15,3,14.3,10.6,12.6,22,290
0,1.5,4,1,3,8.4,6.9,7.7,37,177
0,1.5,4,24,3,8.0,6.7,7.4,38,170
0,2.0,4,15,3,7.9,5.7,6.9,41,159
0,2.0,4,25,3,8.0,5.8,7.0,40,161
0,2.5,4,15,3,8.4,6.1,7.4,38,170
0,2.5,4,15,3,8.3,6.1,7.3,39,168
2,2.0,4,15,3,8.0,5.9,7.1,40,163
2,2.0,4,25,3,8.2,5.9,7.2,39,166
2,2.5,4,15,3,8.7,6.5,7.7,37,177
2,2.5,4,15,3,8.2,6.1,7.3,39,168
4,2.5,4,14,3,10.8,8.4,9.7,29,223
4,2.5,4,25,3,11.1,8.3,9.8,29,225
2,2.5,4,15,3,8.8,6.2,7.6,37,175
2,2.5,4,25,3,9.4,6.4,8.1,35,186
2,2.5,4,15,3,8.4,5.9,7.3,39,168
13,2.0,4,15,4,11.5,8.5,10.2,28,235
13,2.0,4,24,4,10.5,8.5,9.6,29,221
13,2.0,4,25,4,11.1,8.4,9.9,29,228
9,2.0,4,16,4,9.2,6.6,8.0,35,184
0,1.8,4,16,4,10.9,7.5,9.4,30,216
10,1.8,4,16,4,11.0,7.4,9.4,30,216
0,3.5,6,16,4,12.2,8.5,10.5,27,242
0,3.5,6,16,1,16.4,11.1,14.0,20,224
0,3.5,6,16,4,12.0,8.6,10.5,27,242
0,3.5,6,16,4,11.9,8.6,10.4,27,239
10,3.5,6,16,4,12.1,8.7,10.6,27,244
10,3.5,6,16,4,12.1,8.6,10.5,27,242
0,6.2,8,16,4,17.7,11.9,15.1,19,347
10,6.2,8,16,4,17.9,12.2,15.3,18,352
0,4.7,8,16,4,15.4,10.4,13.2,21,304
0,5.5,8,16,4,15.4,11.0,13.4,21,308
0,2.0,4,16,4,9.1,6.2,7.8,36,179
0,2.0,4,16,4,10.3,7.8,9.2,31,212
0,4.7,8,16,4,13.3,9.4,11.5,25,264
0,5.5,8,16,4,15.1,10.7,13.1,22,301
2,2.1,4,16,0,8.5,5.7,7.2,39,194
2,3.5,6,16,4,11.8,8.2,10.2,28,235
2,3.5,6,16,4,11.6,8.1,10.0,28,230
10,3.5,6,16,4,11.9,8.5,10.4,27,239
8,3.5,6,16,4,12.1,8.6,10.5,27,242
10,3.5,6,16,4,12.0,8.5,10.4,27,239
10,3.5,6,16,4,11.9,8.2,10.2,28,235
2,3.5,6,16,4,9.6,7.9,8.8,32,202
2,4.7,8,16,4,13.6,9.1,11.6,24,267
10,4.7,8,16,4,13.7,9.3,11.7,24,269
10,4.7,8,16,4,13.4,8.9,11.4,25,262
2,5.5,8,16,4,15.0,10.3,12.9,22,297
8,5.5,8,16,4,15.5,11.0,13.5,21,310
12,5.5,8,16,4,20.0,15.9,18.2,16,419
12,5.5,8,16,4,19.4,15.7,17.7,16,407
12,3.0,6,16,0,13.4,10.2,12.0,24,324
12,4.7,8,16,4,17.1,12.8,15.2,19,350
12,4.7,8,16,4,17.6,13.1,15.6,18,359
12,5.5,8,16,4,17.7,13.4,15.8,18,363
11,2.1,4,16,0,9.6,7.1,8.5,33,230
11,3.5,6,16,4,12.6,9.6,11.3,25,260
12,3.5,6,16,4,13.4,10.5,12.1,23,278
12,3.5,6,16,1,17.8,13.8,16.0,18,256
12,3.0,6,16,0,11.8,8.5,10.3,27,278
12,4.7,8,16,4,16.2,11.8,14.2,20,327
12,5.5,8,16,4,17.2,13.5,15.5,18,356
1,4.7,8,16,4,14.3,9.5,12.1,23,278
1,4.7,8,16,4,14.2,9.4,12.0,24,276
1,5.5,8,16,4,15.6,10.3,13.2,21,304
13,4.7,8,16,4,13.4,9.6,11.7,24,269
13,5.5,8,16,4,14.8,10.2,12.7,22,292
13,6.0,8,16,4,16.7,11.2,14.2,20,327
13,1.8,4,16,4,10.3,7.2,8.9,32,205
13,1.8,4,25,4,10.4,7.3,9.0,31,207
13,3.5,6,16,4,11.1,8.1,9.8,29,225
13,5.5,8,16,4,12.3,8.7,10.7,26,246
13,6.2,8,16,4,18.7,13.9,16.5,17,380
13,6.2,8,16,4,18.2,12.6,15.7,18,361
10,1.6,4,3,4,8.7,6.6,7.8,36,179
10,1.6,4,25,4,8.6,6.8,7.8,36,179
3,1.6,4,3,4,8.7,6.6,7.8,36,179
3,1.6,4,25,4,8.6,6.8,7.8,36,179
0,1.6,4,3,4,9.4,7.9,8.7,32,200
0,1.6,4,25,4,8.6,6.8,7.8,36,179
13,1.6,4,3,4,8.5,6.6,7.6,37,175
13,1.6,4,25,4,8.0,6.4,7.3,39,168
13,1.6,4,3,4,8.7,6.6,7.8,36,179
13,1.6,4,25,4,8.6,6.8,7.8,36,179
10,1.6,4,3,4,9.3,7.0,8.3,34,191
10,1.6,4,25,4,9.1,6.7,8.0,35,184
3,1.6,4,3,4,9.3,7.0,8.3,34,191
3,1.6,4,25,4,9.1,6.7,8.0,35,184
0,1.6,4,3,4,10.0,7.8,9.0,31,207
0,1.6,4,25,4,9.3,7.5,8.5,33,196
13,1.6,4,3,4,9.3,7.0,8.3,34,191
13,1.6,4,25,4,9.1,6.7,8.0,35,184
0,2.0,4,21,3,9.2,7.0,8.2,34,189
0,2.0,4,24,3,9.6,6.8,8.3,34,191
0,2.4,4,21,3,10.5,8.2,9.5,30,218
0,2.0,4,8,4,14.2,10.5,12.5,23,288
0,2.0,4,24,4,14.0,10.3,12.3,23,283
0,2.0,4,8,4,13.4,9.4,11.6,24,267
9,2.0,4,21,3,9.6,7.3,8.6,33,198
9,2.0,4,24,3,9.8,7.1,8.6,33,198
0,1.2,3,19,3,6.4,5.4,6.0,47,138
0,1.2,3,24,3,7.0,5.6,6.4,44,147
11,2.4,4,21,3,9.5,7.5,8.6,33,198
11,2.4,4,21,3,9.9,8.1,9.1,31,209
11,3.0,6,15,4,11.5,8.5,10.2,28,235
11,2.0,4,21,3,9.6,7.6,8.7,32,200
11,2.0,4,24,3,9.9,7.5,8.8,32,202
11,2.0,4,21,3,9.8,8.0,9.0,31,207
13,3.7,6,16,4,12.6,9.1,11.0,26,253
13,3.7,6,25,4,13.3,9.3,11.5,25,264
13,3.7,6,16,4,13.0,9.5,11.4,25,262
13,3.7,6,25,4,13.5,9.6,11.7,24,269
2,2.5,4,19,3,8.7,6.2,7.6,37,175
2,3.5,6,19,3,10.8,7.4,9.3,30,214
12,5.6,8,2,3,19.1,13.4,16.5,17,380
5,2.5,4,2,3,13.7,10.6,12.3,23,283
5,2.5,4,24,3,12.2,10.2,11.3,25,260
5,4.0,6,2,3,14.7,10.2,12.7,22,292
5,4.0,6,2,3,15.7,11.2,13.7,21,315
5,4.0,6,25,3,14.8,11.0,13.1,22,301
10,3.8,6,8,4,14.5,10.9,12.9,22,297
9,1.6,4,19,4,8.7,7.3,8.1,35,186
9,1.6,4,25,4,9.5,7.6,8.6,33,198
9,1.6,4,19,4,9.3,7.9,8.7,32,200
2,3.5,6,19,4,12.3,9.1,10.9,26,251
11,3.5,6,19,3,13.2,10.1,11.8,24,271
7,2.0,4,19,3,10.0,8.5,9.3,30,214
11,3.5,6,19,3,12.0,8.9,10.6,27,244
11,3.5,6,19,3,12.3,9.3,11.0,26,253
12,2.5,4,19,3,9.1,8.5,8.8,32,202
4,3.5,6,19,3,12.5,9.5,11.1,25,255
11,2.5,4,19,3,9.2,7.2,8.3,34,191
11,2.5,4,19,3,9.5,7.4,8.6,33,198
2,1.8,4,19,3,7.8,6.0,7.0,40,161
2,1.8,4,25,3,8.7,6.6,7.8,36,179
6,5.6,8,2,3,17.9,12.8,15.6,18,359
6,5.6,8,2,3,19.7,14.3,17.3,16,398
0,1.6,4,19,3,7.2,5.8,6.6,43,152
0,1.6,4,24,3,8.6,6.5,7.7,37,177
11,4.0,6,2,3,16.1,11.9,14.2,20,327
11,4.0,6,25,3,15.2,11.9,13.7,21,315
3,3.4,6,9,4,11.6,8.3,10.1,28,232
3,3.4,6,26,4,12.5,8.6,10.7,26,246
3,3.4,6,9,4,11.8,8.5,10.3,27,237
3,3.4,6,26,4,12.4,8.6,10.7,26,246
3,3.4,6,9,4,12.0,8.7,10.5,27,242
3,3.4,6,26,4,12.6,9.0,11.0,26,253
3,3.8,6,9,4,12.3,8.9,10.8,26,248
3,3.8,6,26,4,12.8,8.9,11.0,26,253
3,3.8,6,9,4,12.7,9.0,11.0,26,253
3,3.8,6,26,4,12.9,9.1,11.2,25,258
3,3.8,6,9,4,12.1,8.7,10.6,27,244
3,3.8,6,26,4,12.6,8.6,10.8,26,248
3,3.8,6,9,4,12.4,8.7,10.7,26,246
3,3.8,6,26,4,12.6,8.8,10.9,26,251
13,3.8,6,9,4,16.0,11.5,14.0,20,322
3,3.8,6,9,4,13.7,9.6,11.9,24,274
13,2.7,6,9,4,10.7,7.4,9.2,31,212
13,2.7,6,25,4,11.5,7.9,9.9,29,228
13,3.4,6,9,4,11.3,7.9,9.8,29,225
13,3.4,6,25,4,11.9,8.6,10.4,27,239
12,3.6,6,5,4,14.1,10.2,12.4,23,290
12,3.6,6,25,4,15.8,10.9,13.6,21,313
12,3.0,6,5,0,11.8,8.1,10.2,28,277
12,4.8,8,5,4,16.7,11.5,14.4,20,338
12,4.8,8,5,4,15.5,10.7,13.2,21,310
12,3.0,6,5,4,11.8,9.9,10.9,26,251
12,4.8,8,5,4,16.3,11.0,13.9,20,326
12,4.8,8,5,4,18.0,11.9,15.2,19,358
1,3.6,6,9,4,12.9,8.4,10.9,26,251
1,3.6,6,9,4,13.1,8.7,11.1,25,255
1,3.0,6,9,4,13.4,8.8,11.3,25,260
1,3.0,6,9,4,13.7,8.9,11.5,25,264
1,4.8,8,9,4,15.1,9.7,12.7,22,292
1,4.8,8,9,4,15.3,9.7,12.8,22,294
1,4.8,8,9,4,15.4,9.8,12.9,22,297
6,5.7,8,3,3,17.1,12.0,14.8,19,340
6,5.7,8,5,3,15.8,10.9,13.6,21,313
6,5.7,8,3,3,17.6,12.7,15.4,18,354
6,5.7,8,5,3,16.3,11.5,14.1,20,324
6,3.0,6,5,0,12.1,8.8,10.6,27,286
6,3.6,6,5,3,14.6,10.1,12.6,22,290
6,3.6,6,5,1,20.5,14.5,17.8,16,285
6,3.0,6,5,0,11.6,8.4,10.2,28,275
6,3.6,6,5,3,13.9,9.5,11.9,24,274
6,3.6,6,5,1,19.4,13.6,16.8,17,269
6,3.6,6,5,3,12.9,9.3,11.3,25,260
4,3.6,6,3,3,13.3,9.1,11.4,25,262
4,3.6,6,3,1,18.6,12.7,15.9,18,254
1,6.6,12,5,4,19.1,12.3,16.0,18,368
1,6.7,12,5,4,20.7,12.8,17.1,17,393
0,6.7,12,5,4,20.7,12.8,17.1,17,393
0,6.7,12,5,4,20.7,12.7,17.1,17,393
1,6.7,12,5,4,20.7,12.7,17.1,17,393
2,6.6,12,5,4,18.7,11.8,15.6,18,359
3,2.0,4,15,4,9.6,7.0,8.4,34,193
3,2.0,4,25,4,10.9,7.8,9.5,30,218
3,1.3,4,19,3,6.6,5.7,6.2,46,143
0,2.5,4,15,3,10.2,7.5,9.0,31,207
0,2.5,4,25,3,10.2,7.6,9.0,31,207
9,2.4,4,13,3,10.9,8.6,9.9,29,228
9,2.4,4,24,3,10.9,8.6,9.9,29,228
10,1.8,4,1,3,8.8,7.1,8.0,35,184
10,1.8,4,24,3,8.6,7.1,7.9,36,182
13,1.0,3,7,4,6.9,5.7,6.4,44,147
13,8.4,10,25,4,20.0,13.0,16.9,17,389
3,2.0,4,15,4,9.6,7.1,8.5,33,196
3,2.0,4,25,4,11.0,7.9,9.6,29,221
11,2.0,4,19,4,10.2,8.6,9.5,30,218
11,2.5,4,19,3,9.6,7.4,8.6,33,198
11,2.5,4,25,3,10.9,8.3,9.7,29,223
0,2.0,4,19,3,8.7,6.6,7.8,36,179
0,2.0,4,24,3,9.6,7.1,8.5,33,196
0,2.5,4,24,4,12.6,9.5,11.2,25,258
0,2.5,4,25,4,14.2,10.4,12.5,23,288
9,2.0,4,19,3,8.7,6.6,7.8,36,179
9,2.0,4,24,3,9.6,7.1,8.5,33,196
9,2.5,4,24,4,12.6,9.5,11.2,25,258
9,2.5,4,25,4,14.2,10.4,12.5,23,288
2,2.5,4,19,3,9.7,7.3,8.6,33,198
2,2.5,4,25,3,11.3,8.2,9.9,29,228
2,3.6,6,14,3,13.3,9.5,11.6,24,267
11,2.5,4,19,3,9.9,7.8,9.0,31,207
11,2.5,4,25,3,10.8,8.5,9.8,29,225
11,3.6,6,14,3,13.4,9.7,11.7,24,269
11,3.6,6,14,3,14.7,11.1,13.1,22,301
11,2.0,4,19,3,9.5,7.2,8.5,33,196
11,2.0,4,24,3,10.2,8.0,9.2,31,212
11,2.0,4,19,3,8.1,7.2,7.7,37,177
12,4.0,6,14,3,14.3,11.1,12.9,22,297
2,2.5,4,15,3,9.5,6.6,8.2,34,189
2,3.5,6,15,3,11.1,7.8,9.6,29,221
2,2.5,4,19,3,5.5,5.9,5.7,50,131
2,2.5,4,19,3,5.8,6.2,6.0,47,138
2,1.8,4,1,3,8.6,6.5,7.7,37,177
2,1.8,4,22,3,8.1,6.3,7.3,39,168
2,1.8,4,19,3,8.0,5.9,7.1,40,163
2,1.8,4,25,3,8.3,6.3,7.4,38,170
2,1.8,4,19,3,7.7,5.6,6.8,42,156
2,1.8,4,19,3,7.8,5.9,6.9,41,159
9,1.8,4,1,3,9.4,7.5,8.5,33,196
9,1.8,4,24,3,8.9,7.3,8.2,34,189
11,4.0,6,2,3,14.3,11.2,12.9,22,297
11,4.0,6,25,3,15.4,12.1,13.9,20,320
11,2.7,4,15,3,11.7,8.6,10.3,27,237
11,3.5,6,15,3,12.6,9.4,11.2,25,258
12,3.5,6,15,3,13.0,9.7,11.5,25,264
12,3.5,6,21,3,8.0,8.6,8.3,34,191
12,3.5,6,21,3,7.9,8.6,8.2,34,189
2,1.8,4,19,3,4.7,4.9,4.8,59,110
0,1.5,4,19,3,4.6,4.9,4.7,60,108
8,1.8,4,19,3,5.3,5.8,5.5,51,126
11,2.5,4,15,3,10.0,7.6,8.9,32,205
11,2.5,4,15,3,10.4,8.1,9.4,30,216
11,2.5,4,15,3,10.6,8.2,9.5,30,218
12,5.7,8,15,3,19.0,13.9,16.7,17,384
4,3.5,6,15,3,12.9,9.4,11.3,25,260
4,3.5,6,15,3,14.2,10.3,12.4,23,285
5,2.7,4,1,3,12.2,9.3,10.9,26,251
5,2.7,4,24,3,11.3,8.9,10.2,28,235
5,4.0,6,25,3,14.5,11.3,13.1,22,301
5,2.7,4,1,3,13.1,10.5,11.9,24,274
5,2.7,4,24,3,12.8,10.6,11.8,24,271
5,4.0,6,2,3,14.7,11.5,13.3,21,306
5,4.0,6,25,3,15.3,12.3,14.0,20,322
6,4.0,6,14,3,14.8,11.8,13.5,21,310
6,4.6,8,15,3,15.9,12.3,14.3,20,329
6,5.7,8,15,3,17.6,12.9,15.5,18,356
6,4.6,8,15,3,16.9,12.8,15.1,19,347
6,5.7,8,15,3,18.1,13.9,16.2,17,373
11,2.7,4,15,3,11.4,8.2,10.0,28,230
11,3.5,6,15,3,12.6,9.1,11.0,26,253
11,2.7,4,15,3,11.6,8.5,10.2,28,235
11,3.5,6,15,3,12.9,9.4,11.3,25,260
0,1.5,4,1,3,7.9,6.6,7.3,39,168
0,1.5,4,24,3,7.8,6.3,7.1,40,163
0,1.8,4,3,3,9.5,7.2,8.5,33,196
0,1.8,4,24,3,9.9,7.2,8.7,32,200
0,2.0,4,3,4,10.3,7.7,9.1,31,209
0,2.0,4,25,4,10.8,7.6,9.4,30,216
0,2.5,5,3,3,10.9,8.4,9.8,29,225
0,2.5,5,24,3,11.2,7.7,9.6,29,221
0,2.0,4,3,0,8.4,5.9,7.4,38,200
0,2.0,4,25,0,8.8,6.1,7.7,37,208
10,1.8,4,3,3,9.8,7.3,8.7,32,200
10,2.0,4,3,4,10.3,8.1,9.3,30,214
10,2.0,4,25,4,10.8,7.6,9.4,30,216
10,2.5,5,3,3,11.2,8.7,10.1,28,232
0,2.0,4,3,4,11.1,7.9,9.7,29,223
0,2.0,4,25,4,11.6,7.7,9.8,29,225
0,3.6,6,3,4,14.3,9.8,12.3,23,283
10,2.0,4,3,4,10.9,8.0,9.6,29,221
9,2.5,5,3,3,11.0,7.7,9.5,30,218
9,2.5,5,24,3,11.2,7.3,9.4,30,216
9,2.0,4,3,0,8.1,6.4,7.4,38,198
9,2.0,4,25,0,8.3,6.0,7.3,39,196
0,1.8,4,3,3,9.5,6.7,8.2,34,189
0,1.8,4,24,3,9.4,6.7,8.2,34,189
0,2.0,4,3,3,10.6,8.0,9.4,30,216
0,2.0,4,24,3,10.4,7.2,9.0,31,207
0,2.0,4,3,0,8.1,6.4,7.4,38,198
0,2.0,4,25,0,8.3,6.0,7.3,39,196
0,2.0,4,3,4,10.2,7.5,9.0,31,207
0,2.0,4,25,4,10.6,7.4,9.2,31,212
0,1.4,4,9,4,5.6,5.2,5.4,52,124
2,1.8,4,3,3,9.9,6.9,8.6,33,198
2,1.8,4,24,3,10.0,6.9,8.6,33,198
2,2.5,5,3,3,11.0,8.0,9.7,29,223
2,2.5,5,24,3,11.4,7.8,9.8,29,225
2,3.6,6,3,4,12.4,8.8,10.8,26,248
2,2.0,4,3,0,7.8,5.9,6.9,41,180
4,3.6,6,3,3,14.2,9.5,12.1,23,278
11,2.0,4,3,4,11.7,9.5,10.7,26,246
11,2.0,4,25,4,13.6,9.2,11.6,24,267
11,2.0,4,3,4,11.7,9.4,10.7,26,246
12,3.6,6,17,4,14.4,10.4,12.6,22,296
12,3.0,6,17,0,11.8,8.1,10.2,28,277
0,2.5,5,15,3,11.3,7.8,9.7,29,223
0,2.5,5,15,3,11.6,8.3,10.1,28,232
0,3.0,6,15,3,13.2,9.5,11.5,25,264
2,3.2,6,15,3,11.9,8.1,10.2,28,235
2,3.0,6,15,3,13.2,9.5,11.5,25,264
11,3.2,6,15,3,13.0,8.9,11.2,25,258
11,3.0,6,15,3,13.4,9.8,11.8,24,271
11,3.2,6,15,3,13.2,9.5,11.5,25,264
11,3.2,6,15,3,12.9,9.3,11.3,25,260
12,3.2,6,15,3,14.9,10.2,12.8,22,294
0,2.0,4,14,4,9.7,6.7,8.3,34,191
0,2.4,4,25,4,10.8,7.4,9.3,30,214
0,1.5,4,22,4,6.0,6.1,6.1,46,140
2,3.5,6,9,4,8.0,7.5,7.7,37,177
0,2.4,4,10,4,9.6,6.6,8.3,34,191
0,3.5,6,18,4,11.2,6.9,9.2,31,212
0,3.5,6,18,4,11.2,7.5,9.6,29,221
10,6.0,12,5,4,16.8,10.9,14.2,20,327
13,4.7,8,25,4,18.1,12.3,15.5,18,356
13,6.0,12,9,4,19.5,12.8,16.5,17,379
3,6.0,12,5,4,17.6,11.4,14.8,19,340
10,1.8,4,8,4,10.0,7.1,8.7,32,200
10,2.0,4,8,0,7.6,5.5,6.5,43,177
10,2.0,4,8,4,9.8,7.2,8.6,33,198
10,2.0,4,8,4,10.1,7.5,8.9,32,205
0,2.0,4,23,4,9.9,7.6,8.9,32,205
0,2.0,4,17,4,11.0,7.8,9.6,29,221
0,2.0,4,25,4,10.6,7.3,9.1,31,209
9,2.0,4,17,4,11.2,8.4,9.9,28,228
10,2.0,4,17,4,11.0,7.8,9.6,29,221
10,2.0,4,25,4,10.6,7.3,9.1,31,209
10,2.0,4,17,4,11.3,8.0,9.8,29,225
2,2.0,4,17,4,12.0,8.1,10.3,27,237
2,3.0,6,17,4,13.1,8.5,11.0,26,253
2,3.0,6,17,4,12.6,8.0,10.5,27,242
2,4.0,8,17,4,12.9,8.0,10.7,26,246
1,3.0,6,17,4,12.6,8.0,10.5,27,242
1,4.0,8,17,4,13.2,8.3,11.0,26,258
1,6.3,12,17,4,17.8,10.8,14.6,19,344
0,2.0,4,15,4,12.0,8.2,10.3,27,237
0,2.0,4,15,4,11.9,8.4,10.3,27,237
11,3.0,6,17,4,13.2,9.2,11.4,25,262
11,2.0,4,17,4,9.8,7.9,8.9,32,205
12,3.0,6,17,4,15.2,11.0,13.3,21,306
13,4.2,8,9,4,17.3,10.4,14.2,20,327
13,4.2,8,25,4,20.5,11.7,16.6,17,382
13,5.2,10,9,4,18.2,10.6,14.8,19,347
13,5.2,10,25,4,19.9,12.0,16.4,17,377
10,4.2,8,9,4,14.9,10.1,12.8,22,294
10,4.2,8,9,4,14.8,10.6,12.9,22,297
2,4.0,8,17,4,16.6,9.4,13.3,21,313
10,2.0,4,8,4,10.1,7.7,9.0,31,207
0,3.0,6,9,4,13.0,8.5,11.0,26,253
0,3.0,6,25,4,13.8,9.0,11.7,24,269
10,3.0,6,9,4,13.0,8.5,11.0,26,253
10,3.0,6,25,4,13.8,9.0,11.7,24,269
10,3.0,6,9,4,13.3,9.1,11.4,25,262
2,4.0,8,9,4,14.0,8.7,11.7,24,269
2,4.0,8,17,4,14.6,8.8,11.9,24,281
11,3.0,6,17,4,14.1,9.9,12.2,23,281
10,2.0,4,8,4,10.4,7.6,9.1,31,209
13,2.0,4,8,4,10.4,7.7,9.2,31,212
10,2.0,4,8,4,11.7,8.4,10.2,28,235
13,2.0,4,8,4,11.7,8.5,10.2,28,235
0,4.0,8,17,4,16.1,9.4,13.1,22,307
0,6.0,12,17,4,18.9,11.2,15.4,18,354
10,4.0,8,17,4,17.7,10.3,14.4,20,337
10,6.0,12,17,4,19.6,11.7,16.0,18,368
13,4.0,8,17,4,17.6,10.1,14.2,20,327
2,4.0,8,17,4,17.7,10.0,14.2,20,334
2,6.8,8,17,4,22.3,13.3,18.2,16,419
10,2.0,4,17,4,10.4,7.1,8.9,32,205
10,2.0,4,17,4,10.0,6.5,8.4,34,193
10,2.0,4,25,4,10.7,6.9,9.0,31,207
10,2.0,4,17,4,10.6,7.2,9.1,31,209
10,2.0,4,17,4,10.3,6.7,8.7,32,200
0,2.0,4,17,4,10.0,6.5,8.4,34,193
0,2.0,4,25,4,10.7,6.9,9.0,31,207
0,2.0,4,17,4,10.3,6.7,8.7,32,200
0,2.0,4,17,0,7.6,5.5,6.7,42,181
9,2.0,4,17,0,7.6,5.5,6.7,42,181
0,2.0,4,17,4,10.6,7.2,9.1,31,209
1,2.0,4,17,4,10.6,7.2,9.1,31,209
9,2.0,4,17,4,10.6,7.2,9.1,31,209
0,3.0,6,17,4,11.4,7.4,9.6,29,221
0,3.0,6,25,4,11.5,7.8,9.8,29,225
0,3.0,6,17,4,11.9,7.8,10.0,28,230
0,3.0,6,25,4,12.0,8.3,10.3,27,237
1,3.0,6,17,4,11.9,7.8,10.0,28,230
0,2.0,4,17,4,10.4,7.1,8.9,32,205
0,2.0,4,25,4,10.9,6.8,9.0,31,207
10,2.0,4,17,4,11.2,7.5,9.6,29,221
10,3.0,6,17,4,11.8,7.6,9.9,29,228
10,3.0,6,17,4,12.1,8.1,10.3,27,237
2,2.0,4,17,4,10.4,7.1,8.9,32,205
2,2.0,4,17,4,10.6,7.2,9.1,31,209
2,3.0,6,17,0,9.2,6.3,7.9,36,213
2,3.0,6,17,4,12.1,8.1,10.3,27,237
1,3.0,6,17,4,12.8,8.9,11.0,26,253
2,4.4,8,17,4,14.4,9.7,12.3,23,283
1,4.4,8,17,4,15.2,9.8,12.8,22,294
0,3.0,6,17,4,12.1,8.1,10.3,27,237
10,4.4,8,17,4,15.2,9.8,12.8,22,294
0,4.4,8,17,4,14.4,9.7,12.3,23,283
0,4.4,8,17,4,15.2,9.8,12.8,22,294
1,3.0,6,17,0,10.2,7.1,8.8,32,238
